Model,RMSE,MAE,R2,MAPE,EVS
AdaBoost,4.834020365608945,3.9379910600478114,0.6186801030796185,5.118770932680745,0.6245686642938058
ElasticNet,4.901960226005858,4.00339919216627,0.607886240985684,5.247395997510071,0.608063569961949
Lasso,4.926483233392269,4.041406952249363,0.6039531772158623,5.271316202001915,0.6053766849032245
Bayesian Ridge,4.940510491795814,4.006203433883323,0.6016946248473072,5.27634752513654,0.60605721459649
SVR (Linear),4.95629041990919,4.072296640899111,0.599146196837508,5.326799061173623,0.5991884778017837
CatBoost,4.968670414199354,4.006701299502015,0.5971411627452967,5.213436006507345,0.5999563206288276
Ridge,4.97476932744931,4.0340173230083165,0.596151558345001,5.311768091763596,0.600405971349862
Linear Regression,4.990579802177591,4.044969271776449,0.5935805117683346,5.324490310543204,0.5974223906202107
Stacking Regressor,4.996655189212838,4.108719995175839,0.5925903828747581,5.329492338113472,0.598979649659152
LightGBM,5.056236085730553,4.127221844367004,0.582816423382182,5.369658643662299,0.5886651277145376
Random Forest,5.10832306470267,4.175884490494017,0.5741768910914811,5.4123170931064575,0.5819388689501093
Voting Regressor,5.181205787543034,4.183378663142342,0.5619393942165984,5.424097551648385,0.5682925824314544
Gradient Boosting,5.2573710607180715,4.236025823242025,0.5489654862648816,5.497593304377768,0.5554054981298491
XGBoost,5.2822279373038254,4.272887436522639,0.544690416966161,5.542967345317046,0.550570267487615
Extra Trees,5.398735761645726,4.393921710754771,0.5243837780310947,5.682215845332031,0.5336053007264698
Prophet,5.532829248671644,4.497587714148896,0.5004637027653758,5.944068772033448,0.509934304777828
SVR (RBF),5.961357131966554,4.760607360201021,0.4200870648311703,6.22020264397972,0.42184823646324754
KNN,6.347605281128439,5.186767851680038,0.3425051718036628,6.660991334148505,0.37870188561700524
Decision Tree,8.062855200860785,6.376647689901927,-0.06084085376867776,8.192536346417555,0.031757449769274304
MLP,11.740479637033301,9.683211735769312,-1.2492834859385291,11.980057380929003,0.04567230743273021
SVR (Poly),14.190798276926621,10.845883606943385,-2.2861408079763366,14.107196429711522,-2.2355981091112533
LSTM,75.54887563440644,75.13262863613029,-92.59075745757364,96.42466225758152,-0.02846144009990903
GRU,77.58913266932062,77.19466631236443,-97.71399897908478,99.10401416825407,-0.0011805928318304737
